Date,Open,High,Low,Close*,Adj Close**,Volume
2/25/2011,"12,060.93","12,151.03","12,060.93","12,130.45","12,130.45","147,540,000"
2/24/2011,"12,104.56","12,129.62","11,983.17","12,068.50","12,068.50","190,860,000"
2/23/2011,"12,211.81","12,221.12","12,063.43","12,105.78","12,105.78","213,490,000"
2/22/2011,"12,389.74","12,389.82","12,176.31","12,212.79","12,212.79","201,860,000"
2/18/2011,"12,318.67","12,391.29","12,303.23","12,391.25","12,391.25","230,040,000"
2/17/2011,"12,287.72","12,331.31","12,253.24","12,318.14","12,318.14","130,860,000"
2/16/2011,"12,219.79","12,303.16","12,219.79","12,288.17","12,288.17","146,270,000"
2/15/2011,"12,266.75","12,267.66","12,193.27","12,226.64","12,226.64","142,580,000"
2/14/2011,"12,266.83","12,276.21","12,235.91","12,268.19","12,268.19","146,350,000"
2/11/2011,"12,227.78","12,285.94","12,180.48","12,273.26","12,273.26","184,290,000"
2/10/2011,"12,239.66","12,239.66","12,156.94","12,229.29","12,229.29","274,440,000"
2/9/2011,"12,229.29","12,254.23","12,188.19","12,239.89","12,239.89","162,910,000"
2/8/2011,"12,152.70","12,238.79","12,150.05","12,233.15","12,233.15","126,650,000"
2/7/2011,"12,092.38","12,188.76","12,092.30","12,161.63","12,161.63","132,960,000"
2/4/2011,"12,061.73","12,092.42","12,025.78","12,092.15","12,092.15","121,780,000"
2/3/2011,"12,040.68","12,080.54","11,981.05","12,062.26","12,062.26","143,710,000"
2/2/2011,"12,038.27","12,057.91","12,018.51","12,041.97","12,041.97","143,440,000"
2/1/2011,"11,892.50","12,050.75","11,892.50","12,040.16","12,040.16","180,890,000"
1/31/2011,"11,824.39","11,891.93","11,817.88","11,891.93","11,891.93","206,580,000"
1/28/2011,"11,990.36","12,012.42","11,803.04","11,823.70","11,823.70","214,170,000"
1/27/2011,"11,985.36","12,019.53","11,971.93","11,989.83","11,989.83","167,770,000"
1/26/2011,"11,978.85","12,020.52","11,961.83","11,985.44","11,985.44","168,320,000"
1/25/2011,"11,980.52","11,985.97","11,898.74","11,977.19","11,977.19","191,950,000"
1/24/2011,"11,873.43","11,982.94","11,867.98","11,980.52","11,980.52","184,000,000"
1/21/2011,"11,822.95","11,905.48","11,822.80","11,871.84","11,871.84","249,480,000"
1/20/2011,"11,823.70","11,845.16","11,744.77","11,822.80","11,822.80","180,800,000"
1/19/2011,"11,834.21","11,861.24","11,798.46","11,825.29","11,825.29","166,250,000"
1/18/2011,"11,783.82","11,858.78","11,777.99","11,837.93","11,837.93","203,390,000"
1/14/2011,"11,732.13","11,794.15","11,698.83","11,787.38","11,787.38","200,770,000"
1/13/2011,"11,753.70","11,757.25","11,700.53","11,731.90","11,731.90","161,660,000"
1/12/2011,"11,673.62","11,782.23","11,673.62","11,755.44","11,755.44","144,960,000"
1/11/2011,"11,638.51","11,704.12","11,635.48","11,671.88","11,671.88","157,440,000"
1/10/2011,"11,672.34","11,677.33","11,573.87","11,637.45","11,637.45","150,340,000"
1/7/2011,"11,696.86","11,726.94","11,599.68","11,674.76","11,674.76","188,720,000"
1/6/2011,"11,716.93","11,736.74","11,667.46","11,697.31","11,697.31","193,080,000"
1/5/2011,"11,688.61","11,742.68","11,652.89","11,722.89","11,722.89","169,990,000"
1/4/2011,"11,670.90","11,698.22","11,635.74","11,691.18","11,691.18","178,630,000"
1/3/2011,"11,577.43","11,711.47","11,577.35","11,670.75","11,670.75","203,420,000"
